"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Configuración de atribución",Resultados,"Indicador de resultado",Alcance,Impresiones,"Costo por resultados","Importe gastado (COP)",Finalización,"Artículos agregados al carrito","Artículos agregados al carrito en la app","Artículos agregados al carrito en el sitio web","Artículos agregados al carrito offline","Artículos agregados al carrito en Meta",Compras,"Compras en la app","Compras en el sitio web","Compras offline","Compras en Meta","Total de Compras","Clics (todos)","CTR (todos)","ROAS (retorno de la inversión en publicidad) de compras","ROAS (retorno de la inversión en publicidad) de compras en el sitio web","ROAS (retorno de la inversión en publicidad) de compras en la app","Tasa de Conversion  - Compras"
2025-06-01,2025-06-07,"JUNIO -  CONVERSIONES - 15% LÍNEA CAPILAR",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"JUNIO -  CONVERSIONES - BEAUTY SPECIAL - FRIO",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"JUNIO -  CONVERSIONES - PAUTA DÍA SIN IVA (17 DE JUNIO)",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Mensajes - LOVE SALE - Septiembre",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Set de brochas - Septiembre",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Set de brochas - Septiembre Mensajes",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Mensajes - Beauty Sale",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Beauty Special",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,Estuches,inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"NAVIDAD - Trafico",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Navidad - Mensajes",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"WhatsApp Navidad",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Madrugon expectativa",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"WhatsApp - Febrero",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Trafico Febrero",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"WhatsApp - Marzo 2021",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Trafico - Marzo 2021",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"B Market - WhatsApp",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Ventas del catálogo - catalogo bmarket - Todos los productos - Septiembre",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Green video - Alway on - Marzo",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"30% Off en maquillaje Febrero",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Campaña del 8 al 15 de Marzo - Trafico Frio",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"DIA SIN IVA Marzo - Trafico Frio",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
2025-06-01,2025-06-07,"Campaña del 15 al 18 de Marzo - Trafico Tibio",inactive,"Con el presupuesto del conjunto de anuncios",0,-,,,0,0,,0,"En curso",,,,,,,,,,,,0,0,,,,
